epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.271,2.27969,3.84688,2.05425,0.04073,0.10551,0.02874,0.01206,2.32206,3.52437,1.82148,0.000277027,0.000277027,0.000277027
2,956.337,2.25276,3.49077,2.08309,0.4143,0.04926,0.0327,0.01514,2.373,4.04035,1.8606,0.000554558,0.000554558,0.000554558
3,1447.3,2.25035,3.54439,2.09654,0.31043,0.06332,0.03312,0.01435,2.40336,3.36203,1.93919,0.000831547,0.000831547,0.000831547
4,1959.5,2.23967,3.49632,2.10883,0.34335,0.09757,0.04939,0.02185,2.36957,3.17855,1.91546,0.00083117,0.00083117,0.00083117
5,2481.66,2.17812,3.35917,2.06987,0.08749,0.09786,0.04878,0.02126,2.32909,3.12343,1.9149,0.000829749,0.000829749,0.000829749
6,3030.19,2.10891,3.27339,2.03204,0.07245,0.14417,0.04543,0.02232,2.28107,3.37043,1.85149,0.000827923,0.000827923,0.000827923
7,3532.35,2.08958,3.26334,2.02105,0.32916,0.09982,0.04632,0.02095,2.28689,3.23238,1.87742,0.000825696,0.000825696,0.000825696
8,4054.63,2.04836,3.17958,1.99537,0.55779,0.05397,0.05,0.02422,2.20127,3.26926,1.77357,0.00082307,0.00082307,0.00082307
9,4589.04,2.01449,3.0944,1.97851,0.24272,0.09884,0.05609,0.02594,2.33121,3.13963,1.9022,0.000820046,0.000820046,0.000820046
10,5151.1,2,3.05608,1.96041,0.18434,0.11361,0.04903,0.02281,2.25781,3.18839,1.82516,0.000816628,0.000816628,0.000816628
11,5700.26,1.98644,3.03501,1.93955,0.08449,0.10604,0.05127,0.02451,2.26494,3.17125,1.87303,0.000812819,0.000812819,0.000812819
12,6202.82,1.95917,2.94558,1.91695,0.17821,0.13588,0.05981,0.02648,2.24848,3.2413,1.83734,0.000808623,0.000808623,0.000808623
13,6718.15,1.92943,2.90988,1.90297,0.74361,0.06073,0.06473,0.02921,2.23833,3.08643,1.82619,0.000804044,0.000804044,0.000804044
14,7223,1.92734,2.89677,1.90317,0.09449,0.12072,0.05586,0.02046,2.26563,3.15758,1.84066,0.000799087,0.000799087,0.000799087
15,7726.37,1.91105,2.82877,1.87997,0.1861,0.10252,0.06381,0.02933,2.26047,2.97422,1.79455,0.000793757,0.000793757,0.000793757
16,8236.06,1.87084,2.81276,1.86116,0.2225,0.13388,0.05768,0.02631,2.19813,3.05347,1.80596,0.000788058,0.000788058,0.000788058
17,8733.17,1.88331,2.79512,1.87228,0.09386,0.1555,0.0632,0.03104,2.22039,3.00227,1.8242,0.000781997,0.000781997,0.000781997
18,9238.08,1.86647,2.72309,1.84207,0.0565,0.15054,0.05394,0.02536,2.21346,3.04724,1.81561,0.000775579,0.000775579,0.000775579
19,9753.88,1.83339,2.65337,1.8294,0.20077,0.11719,0.06109,0.02627,2.30258,2.95997,1.86149,0.000768811,0.000768811,0.000768811
20,10263,1.82456,2.6625,1.82255,0.20098,0.13127,0.05754,0.02644,2.25077,3.04138,1.8189,0.000761699,0.000761699,0.000761699
21,10758.1,1.80838,2.63792,1.8161,0.09097,0.12985,0.06896,0.03493,2.23166,2.94989,1.80929,0.000754251,0.000754251,0.000754251
22,11201.1,1.78546,2.61112,1.80117,0.25084,0.12231,0.06482,0.03031,2.25407,3.03897,1.84558,0.000746474,0.000746474,0.000746474
23,11619.5,1.78293,2.53923,1.7946,0.09501,0.11824,0.06084,0.02806,2.26014,2.99179,1.8163,0.000738375,0.000738375,0.000738375
24,11960.9,1.77239,2.55672,1.78052,0.10534,0.13157,0.06554,0.02987,2.22406,2.99315,1.83778,0.000729962,0.000729962,0.000729962
25,12328.2,1.75039,2.51191,1.77231,0.21572,0.13456,0.06094,0.02785,2.24145,3.00988,1.85249,0.000721244,0.000721244,0.000721244
26,12735.6,1.75834,2.50236,1.76825,0.06828,0.13475,0.0748,0.03672,2.22727,2.91612,1.81044,0.00071223,0.00071223,0.00071223
27,13102.9,1.7364,2.43639,1.74726,0.07881,0.12817,0.05372,0.02431,2.29104,2.9956,1.80985,0.000702928,0.000702928,0.000702928
28,13496.3,1.71746,2.39817,1.73035,0.07999,0.14645,0.05874,0.02706,2.22362,3.14682,1.8563,0.000693347,0.000693347,0.000693347
29,13938.7,1.70249,2.3723,1.72177,0.0834,0.1312,0.06388,0.03085,2.27157,3.08019,1.84534,0.000683497,0.000683497,0.000683497
30,14396.5,1.69028,2.38483,1.71367,0.2114,0.12138,0.05866,0.02785,2.24043,2.95927,1.8009,0.000673388,0.000673388,0.000673388
