epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1042.98,2.0314,4.07257,1.6972,0.41756,0.11661,0.04353,0.01851,2.0886,3.63258,1.68991,0.000275816,0.000275816,0.000275816
2,2072.08,2.13344,3.15663,1.75282,0.28611,0.07334,0.03228,0.01347,2.23205,3.40953,1.89655,0.000548003,0.000548003,0.000548003
3,3123.01,2.20589,3.09528,1.82017,0.30996,0.09099,0.04606,0.02225,2.25383,4.16155,1.87409,0.000814692,0.000814692,0.000814692
4,4163.39,2.20763,3.08191,1.83584,0.68867,0.07388,0.04298,0.01858,2.23422,3.41841,1.86892,0.00080826,0.00080826,0.00080826
5,5235.97,2.16299,2.97368,1.79611,0.60018,0.07104,0.0377,0.01548,2.28482,3.44773,1.96007,0.000800013,0.000800013,0.000800013
6,6304.47,2.1696,3.00475,1.80428,0.55345,0.08303,0.04598,0.01956,2.22458,3.16057,1.83727,0.000791767,0.000791767,0.000791767
7,7371.02,2.11084,2.92054,1.78471,0.56991,0.08923,0.04069,0.0164,2.19882,3.17069,1.86525,0.00078352,0.00078352,0.00078352
8,8438.35,2.08596,2.87357,1.7459,0.38783,0.09947,0.06355,0.0275,2.20662,3.11549,1.80788,0.000775273,0.000775273,0.000775273
9,9515.38,2.06354,2.83326,1.73136,0.34218,0.10652,0.06054,0.02758,2.17796,2.90603,1.80991,0.000767026,0.000767026,0.000767026
10,10600.3,2.05228,2.78746,1.73814,0.61417,0.1022,0.05928,0.02629,2.15754,2.95229,1.79357,0.00075878,0.00075878,0.00075878
11,11675.3,2.0513,2.77262,1.70531,0.5327,0.11442,0.06118,0.02889,2.12602,2.73639,1.72891,0.000750533,0.000750533,0.000750533
12,12761.9,1.98181,2.68858,1.67295,0.52353,0.08841,0.06995,0.0326,2.08959,2.89136,1.73724,0.000742286,0.000742286,0.000742286
13,13861.4,2.01018,2.7307,1.72224,0.71789,0.07852,0.07707,0.03592,2.10616,2.8222,1.75077,0.00073404,0.00073404,0.00073404
14,14959.2,2.02299,2.66545,1.6786,0.35628,0.124,0.07382,0.03513,2.09543,2.86413,1.72193,0.000725793,0.000725793,0.000725793
15,16043.8,1.96069,2.63788,1.65074,0.4067,0.11254,0.08689,0.04202,2.10802,2.87979,1.74786,0.000717546,0.000717546,0.000717546
16,17141.5,1.98262,2.60792,1.66221,0.50596,0.11032,0.08423,0.04076,2.06473,2.75532,1.72201,0.000709299,0.000709299,0.000709299
17,18232.9,1.90318,2.56967,1.64452,0.35968,0.14367,0.08105,0.03502,2.0394,2.75821,1.71984,0.000701053,0.000701053,0.000701053
18,19319.9,1.91819,2.55408,1.6591,0.48687,0.11985,0.0864,0.03983,2.10561,2.78018,1.7387,0.000692806,0.000692806,0.000692806
19,20416.6,1.95347,2.51476,1.65825,0.41549,0.1154,0.09782,0.04259,2.08658,2.67593,1.73129,0.000684559,0.000684559,0.000684559
20,21514.3,1.8776,2.469,1.62932,0.36432,0.12248,0.09098,0.04598,2.06155,2.71561,1.72162,0.000676313,0.000676313,0.000676313
21,22593.8,1.85537,2.49873,1.59858,0.39103,0.13983,0.09708,0.04642,2.04401,2.61495,1.74671,0.000668066,0.000668066,0.000668066
22,23688.8,1.88726,2.49564,1.62073,0.36878,0.14088,0.0967,0.0495,2.06993,2.58359,1.72963,0.000659819,0.000659819,0.000659819
23,24776,1.87622,2.42932,1.61797,0.46531,0.10784,0.097,0.04808,2.05656,2.66579,1.70224,0.000651573,0.000651573,0.000651573
24,25844.3,1.88176,2.39163,1.60925,0.37983,0.12956,0.09207,0.0433,2.05336,2.6304,1.73336,0.000643326,0.000643326,0.000643326
25,26934.9,1.86237,2.40452,1.60111,0.46431,0.10985,0.10555,0.0484,2.05963,2.60436,1.7029,0.000635079,0.000635079,0.000635079
26,28018.2,1.82243,2.32885,1.56874,0.42011,0.13209,0.10213,0.04775,2.03214,2.57943,1.67933,0.000626832,0.000626832,0.000626832
27,29100.9,1.80809,2.28526,1.58002,0.25857,0.16456,0.09783,0.04652,2.07241,2.65879,1.7327,0.000618586,0.000618586,0.000618586
28,30190.7,1.86773,2.35201,1.5803,0.38996,0.13502,0.09983,0.04538,2.04177,2.58563,1.68965,0.000610339,0.000610339,0.000610339
29,31276.6,1.78711,2.25257,1.54928,0.38846,0.14572,0.10076,0.04853,2.07659,2.64732,1.7193,0.000602092,0.000602092,0.000602092
30,32351.5,1.7714,2.25095,1.55217,0.43804,0.12114,0.10784,0.04963,2.0554,2.65618,1.69457,0.000593846,0.000593846,0.000593846
31,33424.3,1.79164,2.25753,1.54662,0.37878,0.13702,0.10268,0.04672,2.01747,2.69475,1.67335,0.000585599,0.000585599,0.000585599
32,34518.2,1.80951,2.27783,1.59897,0.41329,0.13621,0.09934,0.04699,2.03886,2.62602,1.68494,0.000577352,0.000577352,0.000577352
33,35609.8,1.78645,2.23372,1.55262,0.45466,0.10513,0.09338,0.04466,2.03894,2.61551,1.69239,0.000569106,0.000569106,0.000569106
34,36706.5,1.8041,2.2565,1.55755,0.39685,0.14338,0.10121,0.04742,2.03027,2.65155,1.69948,0.000560859,0.000560859,0.000560859
35,37790.9,1.78144,2.13645,1.53605,0.14908,0.1676,0.10592,0.05182,2.02164,2.57756,1.71484,0.000552612,0.000552612,0.000552612
36,38863.2,1.75278,2.16672,1.536,0.40332,0.15089,0.10614,0.05344,2.01178,2.62726,1.69577,0.000544365,0.000544365,0.000544365
37,39954,1.71249,2.14094,1.50789,0.24339,0.14256,0.0912,0.04318,1.99322,2.70493,1.67134,0.000536119,0.000536119,0.000536119
38,41032.4,1.74544,2.12157,1.5307,0.39578,0.12409,0.10807,0.05669,2.01594,2.60848,1.69254,0.000527872,0.000527872,0.000527872
39,42120.9,1.72999,2.10557,1.52933,0.27702,0.18245,0.1225,0.05893,2.05184,2.56524,1.69912,0.000519625,0.000519625,0.000519625
40,43204.6,1.7201,2.07022,1.52194,0.4051,0.1483,0.10722,0.05339,2.01686,2.6719,1.69325,0.000511379,0.000511379,0.000511379
41,44291,1.70404,2.04496,1.49359,0.29732,0.13324,0.11378,0.05458,2.02202,2.72011,1.71356,0.000503132,0.000503132,0.000503132
42,45368,1.70557,2.03757,1.49817,0.30427,0.14502,0.11632,0.05466,2.07169,2.60307,1.72301,0.000494885,0.000494885,0.000494885
43,46453.2,1.6906,1.99926,1.49581,0.30223,0.16996,0.11375,0.05393,2.05101,2.60435,1.71645,0.000486639,0.000486639,0.000486639
44,47537.3,1.6761,1.93383,1.4825,0.2723,0.14844,0.1113,0.05344,2.09096,2.64799,1.76014,0.000478392,0.000478392,0.000478392
45,48621.5,1.66556,1.96096,1.48811,0.30251,0.11833,0.10051,0.04983,2.03581,2.6851,1.68766,0.000470145,0.000470145,0.000470145
46,49710.2,1.65616,1.92648,1.4635,0.25614,0.16907,0.10656,0.05218,2.02591,2.6381,1.69727,0.000461898,0.000461898,0.000461898
47,50800.7,1.63436,1.93536,1.4778,0.31236,0.13753,0.10784,0.05458,2.00862,2.6075,1.68095,0.000453652,0.000453652,0.000453652
48,51892,1.64469,1.92212,1.45505,0.43541,0.12512,0.11352,0.05723,2.0312,2.54783,1.71598,0.000445405,0.000445405,0.000445405
49,52982.1,1.64843,1.86977,1.46013,0.33216,0.12984,0.11538,0.05333,2.03437,2.66631,1.70639,0.000437158,0.000437158,0.000437158
50,54036.2,1.6004,1.87207,1.43657,0.2722,0.16717,0.10622,0.05058,2.06287,2.65608,1.72336,0.000428912,0.000428912,0.000428912
51,55109.3,1.61213,1.79814,1.42127,0.29452,0.15624,0.11993,0.05602,2.0183,2.58407,1.68418,0.000420665,0.000420665,0.000420665
52,56190.1,1.57637,1.78994,1.42276,0.48052,0.1211,0.11018,0.05747,2.03184,2.61599,1.68235,0.000412418,0.000412418,0.000412418
53,57281.2,1.58832,1.78583,1.43145,0.29434,0.17836,0.12139,0.05933,2.01552,2.57371,1.69292,0.000404172,0.000404172,0.000404172
54,58362.4,1.60411,1.7825,1.4187,0.17352,0.12419,0.10255,0.0511,2.03814,2.66318,1.68192,0.000395925,0.000395925,0.000395925
55,59458.8,1.58825,1.76254,1.41327,0.26836,0.16425,0.11105,0.05258,2.05734,2.7399,1.69197,0.000387678,0.000387678,0.000387678
56,60552.7,1.56388,1.74022,1.40267,0.21193,0.17138,0.11933,0.06122,2.05344,2.69564,1.71121,0.000379431,0.000379431,0.000379431
57,61600.9,1.56011,1.67485,1.39755,0.24175,0.16814,0.13917,0.06756,2.063,2.67277,1.70903,0.000371185,0.000371185,0.000371185
58,62674.3,1.54291,1.64866,1.3848,0.29105,0.15333,0.12278,0.05968,2.05622,2.6111,1.71153,0.000362938,0.000362938,0.000362938
59,63774.4,1.53184,1.65073,1.38099,0.27543,0.17249,0.11653,0.05479,2.0672,2.74279,1.71188,0.000354691,0.000354691,0.000354691
60,64868.8,1.52904,1.61668,1.37014,0.32432,0.136,0.12098,0.06084,2.0661,2.59449,1.73313,0.000346445,0.000346445,0.000346445
61,65964.2,1.52462,1.63735,1.39993,0.41871,0.1318,0.12967,0.06063,2.07022,2.70366,1.74272,0.000338198,0.000338198,0.000338198
62,67058.9,1.47304,1.58533,1.34589,0.33135,0.13249,0.11968,0.05656,2.05173,2.72144,1.71943,0.000329951,0.000329951,0.000329951
63,68146.6,1.49173,1.59043,1.37311,0.1591,0.15064,0.11354,0.05692,2.0221,2.66258,1.7014,0.000321705,0.000321705,0.000321705
64,69240.1,1.50788,1.5989,1.36016,0.32421,0.16518,0.12793,0.06151,2.04503,2.70496,1.71274,0.000313458,0.000313458,0.000313458
65,70311,1.50875,1.58854,1.3704,0.30669,0.14924,0.11485,0.05444,2.04774,2.70693,1.71494,0.000305211,0.000305211,0.000305211
